"dataset","measure","year","gtype","order","value"
"LR_2000_2021","pups per success",2000,"Success","Success",4.78125
"LR_2000_2021","pups per success",2001,"Success","Success",4.91525423728814
"LR_2000_2021","pups per success",2002,"Success","Success",4.2536231884058
"LR_2000_2021","pups per success",2003,"Success","Success",4.75735294117647
"LR_2000_2021","pups per success",2004,"Success","Success",4.49032258064516
"LR_2000_2021","pups per success",2005,"Success","Success",3.29651162790698
"LR_2000_2021","pups per success",2006,"Success","Success",3.67052023121387
"LR_2000_2021","pups per success",2007,"Success","Success",3.88888888888889
"LR_2000_2021","pups per success",2008,"Success","Success",3.48905109489051
"LR_2000_2021","pups per success",2009,"Success","Success",2.95569620253165
"LR_2000_2021","pups per success",2010,"Success","Success",2.75
"LR_2000_2021","pups per success",2011,"Success","Success",2.61363636363636
"LR_2000_2021","pups per success",2012,"Success","Success",2.96363636363636
"LR_2000_2021","pups per success",2013,"Success","Success",3.35403726708075
"LR_2000_2021","pups per success",2014,"Success","Success",3.23170731707317
"LR_2000_2021","pups per success",2015,"Success","Success",2.8659793814433
"LR_2000_2021","pups per success",2016,"Success","Success",3.08092485549133
"LR_2000_2021","pups per success",2017,"Success","Success",3.71337579617834
"LR_2000_2021","pups per success",2018,"Success","Success",3.632
"LR_2000_2021","pups per success",2019,"Success","Success",0
"LR_2000_2021","pups per success",2020,"Success","Success",0
